Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,227.581832,-110.919281,0.0,bottom
C1,204.118909,-105.098909,135.0,bottom
C10,207.179383,-100.277849,135.0,bottom
C11,201.34,-108.96,225.0,bottom
C12,249.04,-140.62,180.0,bottom
C13,198.333477,-96.424117,135.0,bottom
C14,203.902129,-97.049722,135.0,bottom
C15,206.472276,-99.570743,135.0,bottom
C16,192.04,-100.18,0.0,bottom
C17,192.153364,-107.228709,315.0,bottom
C18,198.135487,-108.614638,225.0,bottom
C19,200.62,-109.68,225.0,bottom
C2,204.838909,-105.808909,135.0,bottom
C20,169.04,-101.29,270.0,bottom
C21,164.89,-95.56,180.0,bottom
C22,232.14,-86.18,0.0,bottom
C23,235.98,-89.11,270.0,bottom
C24,162.311833,-95.304281,0.0,bottom
C25,162.43,-100.87,90.0,bottom
C26,162.1,-102.38,0.0,bottom
C27,162.1,-104.38,0.0,bottom
C28,162.1,-106.74,0.0,bottom
C29,162.11,-109.07,0.0,bottom
C3,208.007157,-101.710001,45.0,bottom
C30,162.307095,-96.294281,0.0,bottom
C31,162.1,-103.38,0.0,bottom
C32,162.09,-105.43,0.0,bottom
C33,162.09,-107.74,0.0,bottom
C4,193.885775,-108.918694,315.0,bottom
C5,193.82,-96.64,45.0,bottom
C6,204.609235,-97.756827,135.0,bottom
C7,187.283089,-99.125005,45.0,bottom
C8,190.77,-94.31,225.0,bottom
C9,248.307157,-153.500001,180.0,bottom
D1,168.93,-95.37,0.0,bottom
D2,166.87,-99.09,270.0,bottom
D3,164.47,-99.11,90.0,bottom
D4,230.08,-82.374282,0.0,bottom
H1,156.051832,-124.224281,0.0,top
H2,252.621832,-124.164281,0.0,top
H3,156.141832,-157.434282,0.0,top
H4,252.621833,-157.304282,0.0,top
J1,243.117096,-159.439282,0.0,bottom
J2,152.74,-114.0,180.0,bottom
J3,210.69,-141.99,0.0,top
J4,209.41,-122.97,90.0,top
J5,231.0,-128.02,0.0,top
J6,231.01,-138.16,0.0,top
L1,205.46000021881346,-106.32000021881345,135.0,bottom
L2,172.15,-99.04,90.0,bottom
L3,246.5675,-99.4975,270.0,top
Q1,163.05,-93.34,0.0,bottom
R1,245.207095,-153.534282,90.0,bottom
R10,165.95,-91.89,180.0,bottom
R11,230.17,-90.64,180.0,bottom
R12,165.97,-92.95,180.0,bottom
R13,232.42,-82.360001,270.0,bottom
R14,230.64,-86.67,270.0,bottom
R2,240.607095,-153.534281,90.0,bottom
R3,209.417157,-103.120001,45.0,bottom
R4,223.081832,-112.419281,90.0,bottom
R5,223.051833,-102.034281,90.0,bottom
R6,192.12,-95.67,225.0,bottom
R7,202.69,-108.17,225.0,bottom
R8,203.42,-107.44,225.0,bottom
R9,230.15,-89.08,180.0,bottom
RESET1,227.561833,-100.624281,0.0,bottom
SW1,178.981832,-127.944281,0.0,top
SW2,166.161832,-140.674282,0.0,top
SW3,178.941833,-153.414281,0.0,top
SW4,191.551832,-140.724281,0.0,top
SW5,242.641832,-133.124282,0.0,top
SW6,229.771832,-145.814281,0.0,top
U1,242.894657,-152.19,90.0,bottom
U2,198.736527,-102.639587,225.0,bottom
U3,250.007095,-146.134281,270.0,bottom
U4,233.31,-88.51,0.0,bottom
U5,158.007095,-99.784282,90.0,bottom
Y1,189.703223,-97.778858,135.0,bottom
